LGA name,Health Care Card,JobSeeker Payment,Low Income Card,Total Youth Allowance
Albury (C),4100,3031,278,894
Armidale Regional (A),2903,1653,120,920
Ballina (A),2763,2035,161,392
Balranald (A),131,72,15,15
Bathurst Regional (A),2713,1660,146,621
Bayside (A),10125,6812,469,1862
Bega Valley (A),2155,1709,202,298
Bellingen (A),1090,915,57,167
Berrigan (A),551,383,69,53
Blacktown (C),28380,18630,1205,5526
Bland (A),319,191,17,33
Blayney (A),408,270,30,70
Blue Mountains (C),4005,2691,290,625
Bogan (A),200,124,6,21
Bourke (A),316,225,7,47
Brewarrina (A),213,161,5,30
Broken Hill (C),1354,1256,55,256
Burwood (A),2089,1412,96,488
Byron (A),3661,3058,145,405
Cabonne (A),657,393,31,91
Camden (A),6079,3204,223,959
Campbelltown (C) (NSW),15714,10170,621,2931
Canada Bay (A),3251,2070,149,598
Canterbury-Bankstown (A),35015,21494,1353,7422
Carrathool (A),150,92,10,19
Central Coast (C) (NSW),23192,17515,1161,3956
Central Darling (A),200,180,5,36
Cessnock (C),4648,3664,238,768
Clarence Valley (A),4178,3759,328,635
Cobar (A),182,146,5,29
Coffs Harbour (C),5957,4992,341,1066
Coolamon (A),253,182,11,32
Coonamble (A),438,313,10,65
Cootamundra-Gundagai Regional (A),623,480,32,82
Cowra (A),882,737,51,133
Cumberland (A),22235,13957,792,4431
Dubbo Regional (A),3900,2671,172,652
Dungog (A),542,394,46,70
Edward River (A),649,426,35,92
Eurobodalla (A),2544,2226,227,346
Fairfield (C),22610,17959,917,5672
Federation (A),742,592,90,90
Forbes (A),623,424,38,69
Georges River (A),8755,5441,536,1831
Gilgandra (A),414,269,15,50
Glen Innes Severn (A),749,626,59,126
Goulburn Mulwaree (A),1783,1444,99,261
Greater Hume Shire (A),571,317,46,76
Griffith (C),1251,852,51,199
Gunnedah (A),856,598,28,169
Gwydir (A),419,253,23,53
Hawkesbury (C),3307,2368,165,557
Hay (A),171,131,13,25
Hilltops (A),1215,927,79,175
Hornsby (A),5818,3225,402,1257
Hunters Hill (A),315,228,11,60
Inner West (A),9797,7391,399,2141
Inverell (A),1620,1080,97,265
Junee (A),338,230,19,58
Kempsey (A),2779,2296,155,494
Kiama (A),852,533,84,111
Ku-ring-gai (A),3796,1771,222,904
Kyogle (A),898,814,63,93
Lachlan (A),619,370,25,62
Lake Macquarie (C),12431,8665,918,2372
Lane Cove (A),1201,707,62,216
Leeton (A),715,531,40,104
Lismore (C),3924,3251,217,721
Lithgow (C),1370,1158,89,203
Liverpool (C),20549,13663,785,4572
Liverpool Plains (A),570,464,24,72
Lockhart (A),168,101,10,18
Maitland (C),5937,3853,368,1016
Mid-Coast (A),7042,6086,598,1058
Mid-Western Regional (A),1488,1168,98,203
Moree Plains (A),1257,934,40,223
Mosman (A),665,438,20,119
Murray River (A),766,449,118,75
Murrumbidgee (A),218,151,13,28
Muswellbrook (A),1131,905,44,178
Nambucca Valley (A),1757,1645,122,279
Narrabri (A),958,698,44,149
Narrandera (A),458,338,16,58
Narromine (A),537,375,17,90
Newcastle (C),12661,7980,646,4101
North Sydney (A),1992,1430,66,341
Northern Beaches (A),8323,5377,335,1487
Oberon (A),303,213,18,31
Orange (C),2533,1667,134,550
Parkes (A),1133,747,65,176
Parramatta (C),15482,9404,841,3007
Penrith (C),14663,9818,652,2630
Port Macquarie-Hastings (A),6038,4293,367,1090
Port Stephens (A),5057,3828,353,808
Queanbeyan-Palerang Regional (A),2313,1579,119,299
Randwick (C),6024,3837,257,1604
Richmond Valley (A),1908,1437,134,342
Ryde (C),6412,3721,377,1426
Shellharbour (C),4842,3555,343,926
Shoalhaven (C),6650,5254,455,984
Singleton (A),1214,881,69,205
Snowy Monaro Regional (A),1100,849,84,128
Snowy Valleys (A),827,645,60,86
Strathfield (A),2528,1529,96,569
Sutherland Shire (A),8172,5005,447,1432
Sydney (C),11236,8906,430,2590
Tamworth Regional (A),4574,3174,198,796
Temora (A),373,228,35,49
Tenterfield (A),603,552,49,76
The Hills Shire (A),7329,3607,509,1447
Tweed (A),7246,5685,481,1088
Upper Hunter Shire (A),734,569,47,77
Upper Lachlan Shire (A),381,269,30,45
Uralla (A),428,279,37,66
Wagga Wagga (C),4788,2785,259,1288
Walcha (A),214,138,14,23
Walgett (A),840,726,19,111
Warren (A),235,186,5,28
Warrumbungle Shire (A),779,609,23,110
Waverley (A),2457,1742,71,417
Weddin (A),211,158,17,26
Wentworth (A),534,408,47,55
Willoughby (C),2615,1469,157,551
Wingecarribee (A),2106,1314,147,307
Wollondilly (A),2438,1492,134,325
Wollongong (C),14771,9849,844,4188
Woollahra (A),1618,1103,44,309
Yass Valley (A),596,364,40,87
Unincorporated NSW,48,34,5,0
Alpine (S),800,480,135,76
Ararat (RC),828,600,153,106
Ballarat (C),9361,5605,1386,1886
Banyule (C),7748,4148,1232,1478
Bass Coast (S),2958,2173,627,304
Baw Baw (S),3794,2233,726,528
Bayside (C),3731,2033,539,705
Benalla (RC),990,662,150,119
Boroondara (C),7869,3265,1043,2218
Brimbank (C),22243,14018,2237,4044
Buloke (S),383,282,44,45
Campaspe (S),2726,1832,396,321
Cardinia (S),8612,4453,959,1342
Casey (C),32085,16557,3112,5559
Central Goldfields (S),1367,1063,246,198
Colac-Otway (S),1438,953,278,160
Corangamite (S),1057,689,225,102
Darebin (C),12173,7651,1287,2467
