Date,LGA_code_2020,LGA name,ABSTUDY (Living allowance),ABSTUDY (Non-living allowance),Age Pension,Austudy,Carer Allowance,Carer Allowance (Child Health Care Card only),Carer Payment,Commonwealth Seniors Health Card,Disability Support Pension,Family Tax Benefit A,Family Tax Benefit B,Health Care Card,JobSeeker Payment,Low Income Card,Parenting Payment Partnered,Parenting Payment Single,Pension Concession Card,Special Benefit,Youth Allowance (other),Youth Allowance (student and apprentice),Commonwealth Rent Assistance,Partner Allowance,Widow Allowance
2021-03,10050,Albury (C),27,103,6824,89,1639,33,757,1031,2351,3747,3087,4100,3031,278,181,894,12653,0,461,433,5368,0,5
2021-03,10180,Armidale Regional (A),72,122,2938,41,633,25,341,647,1158,1792,1457,2903,1653,120,153,402,5596,5,278,642,3143,5,0
2021-03,10250,Ballina (A),18,67,7241,93,1192,17,556,1457,1784,2621,2028,2763,2035,161,142,420,11318,0,224,168,3889,0,5
2021-03,10300,Balranald (A),5,8,255,5,54,0,30,12,70,143,106,131,72,15,7,29,419,0,10,5,120,0,5
2021-03,10470,Bathurst Regional (A),46,73,4754,42,1168,33,562,795,1733,2662,2196,2713,1660,146,124,626,8673,0,267,354,3151,0,0
2021-03,10500,Bayside (A),32,27,16186,193,4003,41,1877,2534,3606,7046,5593,10125,6812,469,548,775,25234,61,451,1411,8388,0,23
2021-03,10550,Bega Valley (A),17,48,6163,39,915,15,463,1072,1617,2178,1666,2155,1709,202,128,367,9761,0,208,90,2512,0,6
2021-03,10600,Bellingen (A),6,10,2137,32,378,0,206,334,594,1008,800,1090,915,57,63,184,3675,5,102,65,1253,0,0
2021-03,10650,Berrigan (A),0,6,1792,5,275,0,129,236,321,496,371,551,383,69,32,95,2595,0,27,26,608,0,0
2021-03,10750,Blacktown (C),103,395,27903,372,10431,264,5893,2461,9959,26242,21301,28380,18630,1205,1901,4507,56777,232,2180,3346,21986,0,73
2021-03,10800,Bland (A),5,0,738,0,116,5,69,128,188,327,261,319,191,17,16,73,1181,0,23,10,217,0,0
2021-03,10850,Blayney (A),0,8,869,5,200,5,89,171,240,401,316,408,270,30,18,82,1428,0,48,22,407,0,0
2021-03,10900,Blue Mountains (C),23,30,9711,114,1712,33,617,1996,2240,3437,2718,4005,2691,290,162,495,14655,0,260,365,4274,5,5
2021-03,10950,Bogan (A),0,11,326,0,41,5,20,49,83,166,124,200,124,6,13,43,530,0,16,5,144,0,0
2021-03,11150,Bourke (A),16,62,236,5,71,5,56,19,134,292,261,316,225,7,8,131,647,0,41,6,221,0,0
2021-03,11200,Brewarrina (A),12,34,125,0,44,0,33,8,107,154,143,213,161,5,0,61,392,0,25,5,161,0,0
2021-03,11250,Broken Hill (C),12,62,2988,15,725,9,372,175,1200,1202,1069,1354,1256,55,62,407,5712,0,227,29,1575,0,0
2021-03,11300,Burwood (A),5,0,3300,64,651,5,260,686,636,1187,896,2089,1412,96,74,96,4909,31,51,437,1914,0,10
2021-03,11350,Byron (A),9,8,3302,186,538,9,274,707,1419,2478,1955,3661,3058,145,161,396,6766,5,205,200,4051,0,0
2021-03,11400,Cabonne (A),0,8,1640,6,294,5,142,319,391,712,549,657,393,31,28,125,2539,0,47,44,573,0,5
2021-03,11450,Camden (A),14,40,6820,104,2873,78,1107,986,1729,6681,5352,6079,3204,223,342,1152,12337,18,375,584,4886,0,9
2021-03,11500,Campbelltown (C) (NSW),74,250,15075,246,6557,151,3724,1232,6148,14546,12197,15714,10170,621,1135,2777,32588,72,1289,1642,11754,0,31
2021-03,11520,Canada Bay (A),5,11,6556,109,1306,10,430,2198,1078,2087,1621,3251,2070,149,102,222,9186,23,102,496,2652,0,9
2021-03,11570,Canterbury-Bankstown (A),26,62,36628,567,14133,251,9133,3990,10796,26592,21438,35015,21494,1353,3479,3136,69476,602,1635,5787,25973,10,97
